Decile,Predicted_CATE,Observed_Uplift,Ground_Truth_CATE
1,1.834223,0.1705534981483332,1.06834975
2,1.2052943,2.174390428593064,1.0068280701754388
3,1.0305333,-0.26873134328358184,0.8926630922693267
4,0.9058015,1.0307119353110723,0.8950982323232324
5,0.8038794,0.21163657770800626,0.7858136138613862
6,0.69509435,0.1028140703517586,0.7682639097744361
7,0.5605853,1.6456540126374444,0.719288029925187
8,0.3874114,0.43719836963316716,0.665835
9,0.12432782,-0.9334151657105636,0.6525700000000001
10,-0.47436818,1.0017123718868834,0.5928335
